epoch,accuracy,loss,val_accuracy,val_loss
0,0.8982158899307251,0.5031078457832336,0.8951228260993958,0.7432875037193298
1,0.9423147439956665,0.34572646021842957,0.9442610740661621,0.4118267297744751
2,0.9541628360748291,0.2997799515724182,0.9570956826210022,0.3229956030845642
3,0.960475742816925,0.27584365010261536,0.9629629850387573,0.29554808139801025
4,0.9665141701698303,0.2593984007835388,0.9647964835166931,0.28050869703292847
5,0.9715462327003479,0.24939243495464325,0.9699303507804871,0.26722919940948486
6,0.9744739532470703,0.23412570357322693,0.9688302278518677,0.2701929807662964
7,0.9766239523887634,0.2285916805267334,0.974697470664978,0.2491074800491333
8,0.97822505235672,0.2183302938938141,0.9735973477363586,0.25095704197883606
9,0.9819304943084717,0.21027402579784393,0.9735973477363586,0.2504211962223053
10,0.9831198453903198,0.20893657207489014,0.9739640355110168,0.2465018332004547
11,0.9845379590988159,0.20416171848773956,0.9724972248077393,0.24091312289237976
12,0.9855443835258484,0.19953152537345886,0.9717638492584229,0.2438632994890213
13,0.9853156208992004,0.1989443004131317,0.9750641584396362,0.24224059283733368
14,0.9866422414779663,0.19764575362205505,0.9743307828903198,0.2427588850259781
15,0.9871912002563477,0.1936129927635193,0.977264404296875,0.2387777715921402
16,0.9889752864837646,0.1892053633928299,0.977264404296875,0.23150375485420227
17,0.987968921661377,0.18835242092609406,0.9761642813682556,0.23195628821849823
18,0.9900274276733398,0.18452812731266022,0.9754309058189392,0.23469659686088562
19,0.9897529482841492,0.183540478348732,0.9779977798461914,0.22178427875041962
20,0.990347683429718,0.18029892444610596,0.9783645272254944,0.22031372785568237
21,0.9919030070304871,0.17740730941295624,0.9790979027748108,0.22265775501728058
22,0.9924062490463257,0.1750994771718979,0.9787312150001526,0.22551073133945465
23,0.9924519658088684,0.17532771825790405,0.977264404296875,0.2187105417251587
24,0.994053065776825,0.17035548388957977,0.979464590549469,0.2168627828359604
25,0.9937785863876343,0.16995321214199066,0.982031524181366,0.21032950282096863
26,0.9934126138687134,0.16975130140781403,0.9831316471099854,0.20881271362304688
27,0.9947850108146667,0.16703207790851593,0.9823982119560242,0.20798949897289276
28,0.9946020245552063,0.16654804348945618,0.9834983348846436,0.20631010830402374
29,0.9946935176849365,0.16360217332839966,0.9834983348846436,0.20958170294761658
30,0.9946935176849365,0.16418267786502838,0.982031524181366,0.2042170763015747
31,0.9947392344474792,0.16198697686195374,0.9834983348846436,0.20389121770858765
32,0.9951052069664001,0.16128787398338318,0.9834983348846436,0.1994429975748062
33,0.9962488412857056,0.15839646756649017,0.9834983348846436,0.20329022407531738
34,0.9958828687667847,0.15854638814926147,0.9853318929672241,0.20033155381679535
35,0.9963861107826233,0.1559341847896576,0.9882655143737793,0.18880924582481384
36,0.9962031245231628,0.1554614007472992,0.9871653914451599,0.19148017466068268
37,0.9967520833015442,0.15452800691127777,0.9867987036705017,0.19162268936634064
38,0.9968435764312744,0.15353134274482727,0.9849651455879211,0.19877655804157257
39,0.9961116313934326,0.1537351906299591,0.9838650822639465,0.19302821159362793
