epoch,accuracy,loss,val_accuracy,val_loss
0,0.8214089870452881,0.6803663372993469,0.9270260334014893,0.3272838592529297
1,0.9036596417427063,0.41923052072525024,0.9391272664070129,0.3057979643344879
2,0.9251601099967957,0.3676484525203705,0.9471946954727173,0.30042052268981934
3,0.9326623678207397,0.35474973917007446,0.9424275755882263,0.31560978293418884
4,0.9372369647026062,0.34854328632354736,0.9479281306266785,0.3177509605884552
5,0.9418115019798279,0.3517290949821472,0.9574624300003052,0.3043748140335083
6,0.9472095370292664,0.3446718454360962,0.956728994846344,0.32633236050605774
7,0.957273542881012,0.309770792722702,0.9658966064453125,0.28014615178108215
8,0.9628545045852661,0.285645455121994,0.9636963605880737,0.279354989528656
9,0.9649588465690613,0.27332034707069397,0.9651631712913513,0.27487823367118835
10,0.9680695533752441,0.25733819603919983,0.9633296728134155,0.26709094643592834
11,0.9672461152076721,0.2587240934371948,0.9669967293739319,0.2565891742706299
12,0.9696248769760132,0.25266242027282715,0.9614961743354797,0.26952674984931946
13,0.9705398082733154,0.243805930018425,0.9666299819946289,0.25486281514167786
14,0.9734217524528503,0.2329467386007309,0.9669967293739319,0.24318596720695496
